Index,filenames,labels,confidencescores,AlbumTitle,ArtistName
0,ab67616d0000b273f756bdc2c11a985dc0c06d94,"['Adult', 'Bride', 'Female']","[99.56776428222656, 99.56776428222656, 99.56776428222656]",The Life of a Showgirl + Acoustic Collection,Taylor Swift
1,ab67616d0000b273d7812467811a7da6e6a44902,"['Adult', 'Bride', 'Female']","[99.6060562133789, 99.6060562133789, 99.6060562133789]",The Life of a Showgirl,Taylor Swift
2,ab67616d0000b2737e0698e1398b6473de43f901,"['Adult', 'Bride', 'Female']","[99.36434173583984, 99.36434173583984, 99.36434173583984]",The Life of a Showgirl (Track by Track Version),Taylor Swift
3,ab67616d0000b2738ecc33f195df6aa257c39eaa,"['Face', 'Head', 'Person']","[99.99998474121094, 99.99998474121094, 99.99998474121094]",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift
4,ab67616d0000b2735076e4160d018e378f488c33,"['Cushion', 'Home Decor', 'Face']","[99.9012222290039, 99.9012222290039, 98.65294647216797]",THE TORTURED POETS DEPARTMENT,Taylor Swift
5,ab67616d0000b273dc2bacae1dca83d26e2b1949,"['Face', 'Head', 'Person']","[99.95085144042969, 99.95085144042969, 99.95085144042969]",1989 (Taylor's Version) [Deluxe],Taylor Swift
6,ab67616d0000b273904445d70d04eb24d6bb79ac,"['Face', 'Head', 'Person']","[99.99203491210938, 99.99203491210938, 99.99203491210938]",1989 (Taylor's Version),Taylor Swift
7,ab67616d0000b2730b04da4f224b51ff86e0a481,"['Clothing', 'Dress', 'Evening Dress']","[99.99995422363281, 99.99995422363281, 99.99995422363281]",Speak Now (Taylor's Version),Taylor Swift
8,ab67616d0000b273fa747621a53c8e2cc436dee0,"['Adult', 'Female', 'Person']","[99.60359954833984, 99.60359954833984, 99.60359954833984]",Midnights (The Til Dawn Edition),Taylor Swift
9,ab67616d0000b273e0b60c608586d88252b8fbc0,"['Body Part', 'Finger', 'Hand']","[99.77814483642578, 99.77814483642578, 99.77814483642578]",Midnights (3am Edition),Taylor Swift
10,ab67616d0000b273bb54dde68cd23e2a268ae0f5,"['Body Part', 'Finger', 'Hand']","[99.86646270751953, 99.86646270751953, 99.86646270751953]",Midnights,Taylor Swift
11,ab67616d0000b273318443aab3531a0558e79a4d,"['Body Part', 'Finger', 'Hand']","[99.8377914428711, 99.8377914428711, 99.8377914428711]",Red (Taylor's Version),Taylor Swift
12,ab67616d0000b273a48964b5d9a3d6968ae3e0de,"['Adult', 'Female', 'Person']","[99.86483764648438, 99.86483764648438, 99.86483764648438]",Fearless (Taylor's Version),Taylor Swift
13,ab67616d0000b27390fd9741e1838115cd90b3b6,"['Braid', 'Hair', 'Person']","[99.990234375, 99.990234375, 99.990234375]",evermore (deluxe version),Taylor Swift
14,ab67616d0000b27333b8541201f1ef38941024be,"['Braid', 'Hair', 'Person']","[99.990234375, 99.990234375, 99.990234375]",evermore,Taylor Swift
15,ab67616d0000b273045514e3ed4e1767a7c3ece5,"['Face', 'Head', 'Person']","[100.0, 100.0, 100.0]",folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Taylor Swift
16,ab67616d0000b273c288028c2592f400dd0b9233,"['Person', 'Walking', 'Nature']","[99.99457550048828, 99.99457550048828, 99.99434661865234]",folklore (deluxe version),Taylor Swift
17,ab67616d0000b27395f754318336a07e85ec59bc,"['Person', 'Walking', 'Nature']","[99.99457550048828, 99.99457550048828, 99.99434661865234]",folklore,Taylor Swift
18,ab67616d0000b273e787cffec20aa2a396a61647,"['Face', 'Head', 'Person']","[99.99748229980469, 99.99748229980469, 99.99748229980469]",Lover,Taylor Swift
19,ab67616d0000b27305fd6906725e3f12544c2d04,"['Adult', 'Female', 'Person']","[99.751220703125, 99.751220703125, 99.751220703125]",Taylor Swift Karaoke: reputation,Taylor Swift
